电影名称,类型,导演,演员,上映时间,简介,头图
星际穿越,剧情 科幻 冒险,克里斯托弗·诺兰,马修·麦康纳 安妮·海瑟薇 杰西卡·查斯坦 麦肯基·弗依,2014-11-12,地球农作物因气候转变及枯萎病而经常失收，曾是美国国家航空航天局的工程师和航天飞机驾驶员的库珀 （ 马修·麦康纳 饰）被迫成为农民以协助解决粮食危机。库珀的10岁女儿墨菲 （ 麦肯基·弗依 饰）发现其房间书架上的书本无故掉到地上，认为这是幽灵现象。不久后，一场沙尘暴在墨菲房间中留下二进制坐标，二人驱车到达坐标位置后发现那是北美空防司令部 （美国国家航空航天局的秘密基地）。基地负责人布兰德教授 （ 迈克尔·凯恩 饰）向库珀透露土星附近出现了虫洞，认为外星智慧有意协助人类前往遥远星系移居，总署在约十年前已派遣了十二名科学家穿越该虫洞，各自降落在多个被认为有居住可能性的行星上，传送回来的资料显示其中一个以黑洞“卡冈图雅 （Gargantua）”为中心的行星系统有三颗星球可能适合殖民。行星以降落的科学家名字命名：米勒 （Miller）、埃德蒙斯 （Edmunds）和曼恩 （Mann）。库珀答允布兰德教授的要求，担任航天器永恒号 （Endurance）的驾驶员前往执行拉撒路项目 （Lazarus mission）：A计划为确认星球适居性后，通过布兰德教授的重力方程协助地球人类前往殖民；B计划为带着多个人类胚胎进行殖民，留在地球的人类则会灭绝。墨菲因担心库珀一去不回而深感愤怒，库珀在二人没有好好道别的情况下离开，他与布兰德教授的女儿艾米莉亚 （ 安妮·海瑟薇 饰）、物理学家罗米利 （ 大卫·吉亚斯 饰）、地质学家道尔 （ 韦斯·本特利 饰）和两个机器人塔斯 （TARS）与凯斯 （CASE）前往太空登上永恒号启程。众人先到达米勒星；“卡冈图雅”庞大引力造成的引力时间膨胀使米勒星的一小时约为地球的七年。但众人漏算了前几年收到来自米勒的数据以此星球的时间而言其实只是几小时前，因此除罗米利与塔斯外一众成员乘坐飞艇漫游者号 （Ranger）降落星球后，才发现地表只有一片汪洋且经常出现巨型海啸，其海啸的来袭使道尔丧生，并且延误了回程。众人返回永恒号后发现对罗米利而言已度过了超过23年的时间。众人认为只能选择前往余下两个星球的其中一个，经过一番争辩后终决定前往曼恩星。同时墨菲已成长为与库珀离开地球时相同的同龄，她加入了美国国家航空航天局协助布兰德教授解开拯救地球人类所需要的重力方程，但教授在健康恶化弥留之际向墨菲承认A计划只是个谎言，不可能实现。另一方面，科学家曼恩 （ 马特·达蒙 饰）被众人从人工睡眠中唤醒后表示，方程因缺乏黑洞引力奇点的数据而无法完成，因此永恒号的真正目的并非拯救地球人类，库珀因此十分愤怒与懊悔，打算放弃项目、回到地球寻找家人。在稍后的营地寻找任务中，曼恩破坏了库珀的太空面罩并表示所有宜居数据均为他一手创造的假数据，目的是希望国家航空航天局能派人前来救他。曼恩留下待死的库珀后夺取漫游者号前往永恒号，同时罗米利试图从被曼恩拆解的机器人奇普 （KIPP）中取得探测资料，触动了陷阱引发爆炸身亡。艾米莉亚救回即将因吸入过多氨气而窒息的库珀，二人乘坐降落艇追赶曼恩。曼恩在与永恒号并未完全对接成功的情况下打开气闸，产生的失控减压使他身亡，并导致永恒号失控旋转，库珀成功对接永恒号使其稳定下来。,https://p0.pipi.cn/mmdb/d2dad592b125bfc9fd300b8a46169f8008efb.jpg?imageView2/1/w/464/h/644
指环王：洛汗之战,奇幻 冒险 动作 动画,神山健治,盖亚·怀斯 卢克·帕斯夸尼洛 米兰达·奥图 布莱恩·考克斯,2024-12-14,《指环王：洛汗之战》将再次带领观众回到《指环王》三部曲中广袤壮丽的史诗世界。影片改编自J·R·R·托尔金的经典巨著，故事设定在《指环王》三部曲发生的200年前，讲述了洛汗国王“锤手”海尔姆家族的命运。当黑蛮地人领主伍尔夫为父复仇，发起猛烈攻势时，海尔姆和他的子民被迫退守到古老的号角堡要塞，这座堡垒日后被称为“海尔姆深谷”（也译作“圣盔谷”）。身处绝境之中，海尔姆的女儿赫拉奋力崛起，开始带领人民反抗这个意图彻底毁灭他们的致命敌人。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c4a115d8d3e9fd1945abf70b373511.jpg?imageView2/1/w/464/h/644
误杀2,剧情 犯罪 家庭,戴墨,肖央 任达华 文咏珊 陈雨锶,2021-12-17,林日朗 （ 肖央 饰）与妻子 阿玲、儿子小虫一直过着清贫但幸福的生活，直到儿子小虫突发意外急需救治，几经周折，走投无路的林日朗为了救儿子决定放手一搏，并制定了一个惊天计划 。为了拯救自己的孩子，林日朗不惜劫持急诊中心，只为夺回属于小虫的救命心脏 。,https://p0.pipi.cn/mmdb/25bfd68dbe17e1030cf0ee3dd5c16373fabcb.jpg?imageView2/1/w/464/h/644
多想和你再见一面,剧情 爱情,徐欣羨,此沙 何超莲 曾志伟,2024-12-14,1999年，随着澳门回归的钟声即将敲响，一段命定的缘分悄然降临。澳门女孩姗蒂(何超莲 饰)与来自北京的大学生乔明庄(此沙 饰)偶然相遇，度过短暂而梦幻的甜蜜时光，青涩的情愫由此结下。随着乔明庄返回北京，两人跨越千里，努力维系着这段微妙的情感，然而距离与误会却让两人渐行渐远..…岁月流转，2018年，随着港珠澳大桥的建成，两人的缘分再次连结.....,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c3e79a15b2825cb7d5f5f8f97206e0.jpg?imageView2/1/w/464/h/644
误杀,剧情 犯罪,柯汶利,肖央 谭卓 陈冲 姜皓文,2019-12-13,李维杰 （ 肖央 饰）与妻子阿玉 （ 谭卓 饰）来泰打拼17年，膝下育有两个女儿。年届四十的他靠开设网络公司为生，为人也颇得小镇居民的好感，而这一切美好却被突如其来的不速之客打破。这个充斥走私、贩毒活动的边陲小镇，各种权力交织碾压公平正义。李维杰的大女儿平平 （ 许文姗 饰）被督察长的儿子强暴，因反抗误杀对方。李维杰曾亲眼目睹督察长滥用私刑，深知法律无用。为了维护女儿，捍卫家人，李维杰埋尸掩盖一切证据，在时间与空间的交错缝隙中，与警方在身心层面展开殊死一搏的较量 。,https://p0.pipi.cn/mmdb/d2dad5925372fff2aabe12416024f1c8c5f88.jpg?imageView2/1/w/464/h/644
疯狂的外星人,喜剧,宁浩,黄渤 沈腾 马修·莫里森 汤姆·派福瑞,2019-02-05,耿浩 （ 黄渤 饰）对耍猴这项“国粹”全身心投入，每日西装革履，在世界公园里认真表演。然而，游客们对他的卖力演出兴趣不大，稀稀拉拉的几个人有的玩手机、有的打电话。他不仅面临着五指山要被改造为火锅城的威胁，唯一的猴子欢欢也因为骨折而无法表演。而开酒类专营店、一心想发大财的大飞 （ 沈腾 饰）看上去很“社会”，却屡屡投资失败，成为被各类骗局收割的“韭菜”。两个人经营着各自惨淡的“事业”，然而“天外来客”的意外降临，打破了二人平静又拮据的生活。神秘的西方力量也派出“哼哈二将”在全球寻找外星人踪影。啼笑皆非的跨物种对决，别开生面的“星战”，在中国某海边城市激情上演 。,https://p0.pipi.cn/mmdb/d2dad5927e10fa7a35f2aad571b45b97723ad.jpg?imageView2/1/w/464/h/644
好运来,喜剧,朱凌锋,白客 乔杉 王大陆 黄才伦,2024-11-30,成名！成功！发财！最靠谱喜剧联盟演绎不靠谱公司送好运！爆笑再现荒诞好梦！ 好运公司，一个帮你实现所有梦想的地方！姚客（白客 饰）与贾凌（黄才伦 饰）带头打造专业团队，无论多离谱的白日梦，都能化“荒诞”为神奇，让你美梦成真！在他们的帮助下，街头歌手赵清晨（李嘉琦 饰）“一夜成名”，助创业失败的阿伦（王大陆 饰）逆风翻盘，外卖小哥乔小杉（乔杉 饰）一夜暴富衣锦还乡！可天上真的会掉馅饼吗？他们究竟是被命运选中的“天选之子”，还是拿到了“好运一日体验卡”？梦醒之后，被“爆改”的人生轨迹又将通往何处……,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5cf876e3e327160d58e6c15bb72a6c8.jpg?imageView2/1/w/464/h/644
猎人克莱文,动作 犯罪 惊悚,J·C·陈多尔,亚伦·泰勒-约翰逊 阿丽亚娜·德博斯 弗莱德·赫钦格 亚历桑德罗·尼沃拉,2024-12-14,"《猎人克莱文》是一部令人血脉偾张的动作犯罪片, 由好莱坞最性感男星亚伦·泰勒-约翰逊演绎漫威最狂野暴力的反派角色克莱文的独立起源故事。克莱文兽性觉醒大杀四方，与残暴冷血的父亲尼古拉·克拉维诺夫（罗素·克劳饰）所带领的黑帮陷入无底线的厮杀。当正义与复仇的界限日益模糊，他是否会任由本能驱使，陷入嗜血的屠杀之中？",https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c14b78b813de219bf6cd992878ea4781.jpg?imageView2/1/w/464/h/644
哈利·波特与死亡圣器（上),奇幻 冒险,大卫·叶茨,丹尼尔·雷德克里夫 艾玛·沃特森 鲁伯特·格林特 海伦娜·伯翰·卡特,2010-11-19,《哈利·波特与死亡圣器》是“哈利·波特”系列电影的第七部影片，也是最后的冒险。这部备受期待的电影分为上下两部。 第一部开始于哈利、罗恩和赫敏危机四伏的任务，他们要追踪并摧毁伏地魔长生不老的秘密——魂器。现在，三个好友必须靠自己的力量，没有教授的指导和邓布利多的保护，三人组比以往任何时候都更加依赖彼此。但是，黑暗势力潜伏其间，他们面临着分崩离析的危险。 同时，对于所有与“黑魔头”为敌的人来说，魔法世界已成为危险的地方。人们担心已久的战争已经开始，伏地魔的食死徒夺取了魔法部乃至霍格沃茨的控制权，恐吓并逮捕了任何可能反对他们的人。但是他们仍在寻找对于伏地魔来说最有价值的目标：哈利·波特。被选中的男孩已成为被猎杀的对象，食死徒受到命令，必须要找到哈利并将他活着带到伏地魔面前。 哈利唯一的希望是在伏地魔找到他之前找到魂器。但在寻找线索时，他发现了一个古老而几乎被遗忘的故事——死亡圣器的传说。如果这个传说被证明是真的，它可能会赋予伏地魔他所追求的终极力量。 哈利不知道他未来命运已经由他的过去决定了：在那个命中注定的日子里，他成为了“幸存的男孩”。长大的哈利·波特越来越接近自从他第一次踏入霍格沃茨那天起就为之准备的任务：与伏地魔的终极对决。,https://p0.pipi.cn/basicdata/54ecdedd7a3b127a35ddd2eddc2068dea07a4.jpg?imageView2/1/w/464/h/644
出走的决心,剧情 家庭,尹丽川,咏梅 姜武 吴倩 张本煜,2024-09-15,根据50岁阿姨自驾游真人故事改编。天真浪漫的李红（咏梅 饰）一生有过许多梦想，18岁时憧憬大学，25岁时憧憬爱情，45岁时憧憬远游……但为了那些“对别人来说更重要”的事，她只能一等再等，也一再错过。50岁，她决心不再等待，活出不一样的人生！,https://p0.pipi.cn/basicdata/54ecdeddf2a92339dd2c95022e99e5fe27091.jpg?imageView2/1/w/464/h/644
风流一代,剧情,贾樟柯,赵涛 李竺斌 潘剑林 兰周,2024-11-22,《风流一代》以本世纪前21年为故事背景，讲述了一位中国女性如何沉默着经历了喧嚣的生活。值得注意的是，影片的拍摄周期由2001年一直延续至2023年，同样历经22年。故事从2001年至22年，以中国北方小城恋人巧巧和郭斌的分分合合为主线，讲述他们与身边形形色色的基层小人物在新世纪头20年的人生故事，刻画社会变革背景下一代人不屈不挠的进取精神，描绘出一代人的人的生活。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5cea414d5be715d53346e355b72ec78.jpeg?imageView2/1/w/464/h/644
钱来钱去,剧情 喜剧,王大治,王大治 苗圃 柴碧云 苗阜,2024-12-20,讲述了主人公路小毛（王大治饰）遭遇的一次意外事件，人到中年的他不得不面对命运的种种暴击，尝尽了人生的酸甜苦辣，只能笑看生活的残酷与荒诞。最终金钱与生命能否失而复得？一场爆笑的“求生之旅”就此展开。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c143d66e38d3e25cee24927e230db028.jpg?imageView2/1/w/464/h/644
大突围,战争 青春 动作,杨真,任天野 敖子逸 艾米 王劲松,2024-11-29,一群来自四面八方，怀揣抗日救国梦想的少男少女，被秘密安置在一座青山深处的抗大分校进行残酷训练....不久，被日本军发现并展开了疯狂大围剿！生与死，人性与理想，都炙烤着这帮热血爆棚而又羽翼未丰的他们....,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3344e14de32ac6cac6cf0102184f7ce033.jpg?imageView2/1/w/464/h/644
焚城,灾难 剧情,潘耀明,刘德华 白宇 莫文蔚 谢君豪,2024-11-01,危险物质突发泄漏！24小时后危及香港全城。 如何及时阻止这场末日灾难，专家范伟立（刘德华 饰）与Cecilia（莫文蔚 饰）各执一词。同时，消防队长黎杰峰（白宇 饰）和队友已奉命奔赴未知前线。 随着末日的逼近，富商的黑色利益链也逐渐浮出水面，独享财富却要平摊灾难，这次危机究竟要如何才能化解？,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c9a15c2f87b3d693404559deaf5c07.jpeg?imageView2/1/w/464/h/644
爆裂鼓手,剧情 音乐,达米恩·查泽雷,J·K·西蒙斯 迈尔斯·特勒 保罗·雷瑟 内特·朗,2024-12-06,十周年经典回归，暗黑热血挑战感官极限！19岁的天才少年安德鲁（迈尔斯·特勒 饰）一心想成为顶级爵士乐鼓手，偶然间他被极具才华的魔鬼导师弗莱彻（J·K·西蒙斯 饰）选中，并成功加入大名鼎鼎的校爵士乐队。在弗莱彻极端的训练下，安德鲁的潜能逐渐被激发，他似乎看到了一线接近梦想的曙光。然而，当他终于站上梦想的舞台，才惊恐地发现一切的背后是万丈深渊……,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c1425c6e33e79f87b488c73bec0e3816.jpg?imageView2/1/w/464/h/644
火锅艺术家,喜剧,崔志佳,崔志佳 焦俊艳 张琪 于洋,2025-01-03,包笑包乐包解压！看合家欢喜剧，全家零负担一起笑翻天！东北小伙拎勺C位出道震惊四座？七旬老汉狂秀十八般武艺火力拉满？社会大哥摇人示威为何反被啪啪打脸?到底是风云诡谲的江湖争霸还是“疯晕跪绝”的全员整活儿？崔志佳、焦俊艳、张琪、宋小宝、乔杉、于洋、魏翔、艾伦等喜剧人火速集合，欢乐开席！准备好了吗？一起走进爆笑喜剧电影—《火锅艺术家》！,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3343d3e777eb7865b28ce26145ce4327d2.jpg?imageView2/1/w/464/h/644
红色一号：冬日行动,动作 喜剧 奇幻,杰克·卡斯丹,道恩·强森 克里斯·埃文斯 J·K·西蒙斯 邦尼·亨特,2024-11-08,圣诞老人（J·K·西蒙斯 饰）被神秘绑架，北极安保主管（道恩·强森 饰）不得已与全世界最臭名昭著的赏金猎人（克里斯·埃文斯 饰）展开合作，他们寻遍全球、打遍天下，力求拯救圣诞节。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c25c4a1ea40e3278b62ed4c81cd1e9.jpg?imageView2/1/w/464/h/644
危机航线,犯罪 动作 灾难,彭顺,刘德华 张子枫 屈楚萧 刘涛,2024-09-30,疯上天！万米高空癫狂犯罪大片！和刘德华、张子枫、屈楚萧、刘涛一起体验极“疯”失重，心跳狂飙！ “这是航班HY688，我们遭遇劫机！劫匪要价35亿人民币！目前飞机处于失控状态，请求支援！！！”一架五星级超豪华A380客机在国际首航途中遭遇暴力劫机，整架飞机被杀意笼罩。机舱内，国际安保专家高皓军（刘德华 饰）正在和疯批悍匪团周旋，他的女儿小军（张子枫 饰）被绑为人质，性命岌岌可危。劫匪头目Mike（屈楚萧 饰）要价35亿人民币，全机乘客沦为他的筹码和玩具。女儿和前妻傅源（刘涛 饰）先后落入魔爪，暴躁杀神高晧军开启极限反杀模式，一场高空追杀就此展开。此时机舱内已是浓烟滚滚，坠机只是时间问题！全机乘客能否安全降落，这架摇摇欲坠的豪华客机究竟是最后的栖身之所还是坠入地狱的幽灵航班？,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3343d3e78d33cbc9a13cd407fa94118bb4.jpg?imageView2/1/w/464/h/644
大鱼海棠2,动画 奇幻,张春,,,湫被灵婆复活，正式成为如升楼新任北斗。在履行职责的过程中湫结识了一位少年。两人一起同行，却卷入了这个世界的一场灾难，而他们的命运和世界紧紧交织在一起……,https://p0.pipi.cn/mmdb/d2dad5927a3be15bf111e5d9575dcc7f58f2e.jpg?imageView2/1/w/464/h/644
